Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Guinea,0.075240814,0.075240814,0.112861221,0.173053872,0.263342849,0.383728151,0.54173386,0.737359976,0.97813058,1.279093836,1.580057091,1.881020347,2.257224416,2.558187672,2.859150927,3.160114182,3.461077438,3.611559066,3.762040693,3.837281507,3.837281507,3.762040693,3.762040693,3.68679988,3.611559066,3.68679988
Guinea-Bissau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guyana,0.129131064,0.129131064,0.129131064,0.129131064,0.129131064,0.129131064,0.258262128,0.258262128,0.645655321,0.645655321,0.645655321,1.291310642,1.291310642,1.291310642,1.420441706,1.54957277,1.54957277,1.54957277,1.54957277,1.54957277,1.54957277,1.420441706,1.420441706,1.420441706,1.291310642,1.291310642
Haiti,0.400609144,0.600913717,0.864951562,1.183617927,1.638855591,2.185140788,2.91352105,3.641901313,4.552376641,5.462851969,6.46437483,7.465897691,8.558468085,9.104753282,10.01522861,10.92570394,11.83617927,12.74665459,12.74665459,12.74665459,12.74665459,11.83617927,11.83617927,11.83617927,10.92570394,10.01522861
Honduras,0.52982193,0.734525858,0.987395416,1.324554826,1.565382976,2.047039277,2.408281502,2.769523727,3.251180028,3.612422253,3.973664478,4.214492629,4.455320779,4.696148929,4.696148929,4.575734854,4.455320779,4.334906704,4.094078554,3.853250403,3.612422253,3.251180028,3.010351878,2.769523727,2.408281502,2.167453352
Hungary,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Iceland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
India,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Indonesia,0.000379492,0.000379492,0.000379492,0.000379492,0.000379492,0.000379492,0.000379492,0.000758984,0.00189746,0.00189746,0.00379492,0.004553904,0.007210349,0.011384761,0.017836125,0.027702918,0.041744123,0.056923804,0.075898406,0.102462848,0.13661713,0.178361254,0.231490138,0.292208862,0.360517428,0.417441232
Iran (Islamic Republic of),0.006176979,0.006176979,0.012353958,0.012353958,0.012353958,0.013589354,0.016060145,0.018530937,0.022237124,0.025943312,0.032120291,0.03829727,0.045709645,0.055592811,0.067946769,0.080300727,0.095125477,0.109950226,0.12353958,0.135893538,0.148247496,0.172955412,0.18530937,0.197663328,0.210017286,0.222371244
Ireland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Italy,0.001672297,0.001672297,0.001672297,0.001672297,0.001672297,0.001672297,0.001672297,0.001672297,0.003344595,0.008361487,0.016722973,0.020067568,0.030101352,0.040135136,0.05016892,0.058530407,0.063547299,0.066891894,0.066891894,0.066891894,0.068564191,0.068564191,0.068564191,0.066891894,0.065219597,0.063547299
Jamaica,0.177728172,0.177728172,0.355456344,0.426547612,0.639821419,0.888640859,1.208551569,1.599553547,2.026101159,2.523740041,2.985833287,3.519017803,3.910019781,4.265476125,4.976388812,5.331845156,5.331845156,5.331845156,5.6873015,5.331845156,5.331845156,5.331845156,4.976388812,4.976388812,4.620932469,4.620932469
Japan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kazakhstan,0.005535728,0.005535728,0.005535728,0.005535728,0.005535728,0.005535728,0.011071457,0.011071457,0.027678642,0.027678642,0.027678642,0.055357284,0.055357284,0.055357284,0.055357284,0.066428741,0.077500198,0.094107383,0.10517884,0.121786025,0.132857482,0.149464667,0.166071853,0.182679038,0.199286223,0.21035768
Kenya,0.825305041,1.217324935,1.753773212,2.475915123,3.507546424,4.539177725,5.983461547,7.634071629,9.284681711,11.34794431,13.20488066,15.26814326,17.1250796,18.77568968,20.2199735,20.63262602,22.69588863,22.69588863,20.63262602,20.63262602,19.80732098,18.56936342,17.33140586,15.88712204,14.85549074,13.61753318
Kyrgyzstan,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.032653354,0.032653354,0.032653354,0.081633386,0.081633386,0.081633386,0.081633386,0.163266772,0.163266772,0.163266772,0.163266772,0.195920127,0.228573481,0.277553513,0.310206867
Lao People's Democratic Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Latvia,0.051425383,0.051425383,0.051425383,0.051425383,0.051425383,0.102850766,0.102850766,0.257126915,0.257126915,0.257126915,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.565679214,0.617104597,0.66852998,0.66852998,0.66852998,0.719955363,0.719955363,0.719955363,0.771380746,0.771380746,0.822806129
Lebanon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lesotho,0.732212164,1.006791725,1.372897807,1.92205693,2.608505834,3.61529756,5.033958627,6.406856435,8.695019447,10.98318246,13.72897807,16.93240629,20.59346711,23.79689533,27.45795615,30.66138437,33.40717998,34.78007779,35.69534299,35.69534299,35.69534299,35.23771039,34.32244519,33.86481258,33.40717998,33.40717998
Liberia,0.10569848,0.10569848,0.21139696,0.21139696,0.295955744,0.422793919,0.591911487,0.824448143,1.120403887,1.500918414,1.902572638,2.325366557,2.748160477,3.382351356,3.805145275,4.227939195,4.862130074,5.284923993,5.496320953,5.707717913,5.919114872,6.130511832,6.130511832,6.130511832,5.919114872,5.919114872
Lithuania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Luxembourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Madagascar,0.003904272,0.003904272,0.003904272,0.007808543,0.019521358,0.039042716,0.039042716,0.058564074,0.089798248,0.128840964,0.183500767,0.253777656,0.33576736,0.42946988,0.546598029,0.663726178,0.819897043,0.937025192,1.054153341,1.17128149,1.288409639,1.405537788,1.48362322,1.522665937,1.561708653,1.600751369
Malawi,2.404545159,3.278925216,4.317251535,5.464875361,7.104337969,8.743800577,10.92975072,13.11570087,15.30165101,18.03408869,20.76652637,23.49896405,26.23140173,28.41735188,30.60330202,32.78925216,34.42871477,35.52168984,36.06817738,36.06817738,35.52168984,34.42871477,33.3357397,32.24276463,30.60330202,28.96383941
Malaysia,0.003208812,0.006417625,0.032088125,0.060967437,0.134770124,0.259913811,0.417145622,0.641762495,0.898467494,1.155172492,1.41187749,1.636494363,1.861111237,2.053639985,2.214080609,2.342433108,2.470785607,2.567049982,2.631226231,2.631226231,2.631226231,2.599138107,2.534961857,2.470785607,2.374521233,2.246168734
Maldives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mali,0.321027871,0.465490413,0.642055743,0.856074324,1.177102195,1.498130066,1.819157937,2.193690454,2.568222971,2.889250842,3.210278713,3.531306585,3.852334456,4.066353037,4.280371618,4.387380908,4.440885553,4.440885553,4.333876263,4.226866972,4.066353037,3.905839101,3.745325165,3.58481123,3.531306585,3.531306585
Malta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mauritania,0.117193506,0.117193506,0.117193506,0.234387012,0.234387012,0.234387012,0.257825714,0.328141817,0.398457921,0.492212726,0.609406232,0.726599738,0.867231946,1.031302854,1.171935062,1.33600597,1.500076879,1.617270385,1.734463891,1.828218696,1.8985348,1.968850904,2.039167007,2.109483111,2.179799215,2.203237916
Mauritius,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
