Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
France,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gabon,0.777245796,0.999316024,1.276903808,1.610009149,1.943114491,2.220702275,2.498290059,2.775877844,2.886912957,2.997948071,2.997948071,2.886912957,2.720360287,2.553807616,2.387254946,2.165184718,1.887596934,1.610009149,1.498974036,1.387938922,1.276903808,1.165868694,1.110351137,0.999316024,0.943798467,0.832763353
Gambia,0.235802563,0.235802563,0.235802563,0.471605127,0.471605127,0.51876564,0.660247178,0.801728716,0.943210254,0.990370767,1.037531279,1.037531279,1.037531279,0.990370767,0.990370767,0.943210254,0.943210254,0.896049741,0.848889228,0.801728716,0.754568203,0.70740769,0.660247178,0.70740769,0.70740769,0.660247178
Georgia,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.050345724,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.12586431,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862,0.25172862,0.276901482,0.276901482
Germany,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ghana,0.872395633,1.011978934,1.11666641,1.221353886,1.291145537,1.326041362,1.256249711,1.221353886,1.186458061,1.081770585,1.04687476,0.977083109,0.942187284,0.872395633,0.837499808,0.802603982,0.767708157,0.732812332,0.697916506,0.663020681,0.628124856,0.558333205,0.52343738,0.488541554,0.453645729,0.453645729
Greece,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656,0.091802656
Guatemala,0.029402257,0.029402257,0.058804515,0.058804515,0.058804515,0.082326321,0.099967675,0.129369933,0.164652641,0.19993535,0.223457156,0.235218059,0.246978962,0.264620317,0.252859414,0.258739865,0.229337608,0.19993535,0.194054899,0.19993535,0.176413544,0.188174447,0.19993535,0.205815802,0.211696253,0.217576705
Guinea,0.398776313,0.556782023,0.714787732,0.827648953,0.97813058,0.97813058,0.902889766,0.827648953,0.752408139,0.699739569,0.677167325,0.662119162,0.662119162,0.684691406,0.692215488,0.70726365,0.70726365,0.692215488,0.684691406,0.692215488,0.70726365,0.692215488,0.677167325,0.571830185,0.556782023,0.571830185
Guinea-Bissau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guyana,0.129131064,0.258262128,0.645655321,0.645655321,0.645655321,1.291310642,1.291310642,1.291310642,1.291310642,1.291310642,1.291310642,1.291310642,1.291310642,1.291310642,1.291310642,1.291310642,1.291310642,1.291310642,0.645655321,0.645655321,0.645655321,0.645655321,0.645655321,0.645655321,0.645655321,0.645655321
Haiti,1.911998189,2.185140788,2.458283386,2.640378452,2.822473517,2.91352105,2.91352105,2.822473517,2.731425985,2.640378452,2.367235853,2.094093255,1.820950656,1.547808058,1.274665459,1.001522861,0.792113536,0.63733273,0.52807569,0.437028158,0.336875871,0.254933092,0.191199819,0.154780806,0.145676053,0.136571299
Honduras,0.854939933,0.794732896,0.698401636,0.626153191,0.541863338,0.457573485,0.38532504,0.325118003,0.264910965,0.228786743,0.19266252,0.168579705,0.14449689,0.132455483,0.120414075,0.120414075,0.120414075,0.120414075,0.120414075,0.120414075,0.120414075,0.120414075,0.120414075,0.120414075,0.060207038,0.060207038
Hungary,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Iceland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
India,0.04692693,0.071507703,0.104282067,0.126628224,0.156423101,0.186217977,0.201115415,0.208564134,0.208564134,0.201115415,0.186217977,0.171320539,0.148974381,0.134076943,0.126628224,0.111730786,0.104282067,0.096833348,0.089384629,0.08193591,0.074487191,0.073742319,0.071507703,0.069273087,0.0662936,0.064058984
Indonesia,0.000379492,0.000379492,0.00189746,0.00189746,0.00379492,0.006830857,0.012523237,0.019733586,0.02808241,0.037949203,0.053128884,0.087283167,0.140412051,0.185951094,0.204925696,0.220105377,0.239079978,0.250464739,0.25425966,0.25805458,0.2618495,0.2618495,0.26564442,0.26564442,0.269439341,0.277029181
Iran (Islamic Republic of),0.006176979,0.012353958,0.012353958,0.012353958,0.012353958,0.013589354,0.025943312,0.049415832,0.063005186,0.063005186,0.067946769,0.070417561,0.070417561,0.070417561,0.070417561,0.072888352,0.07659454,0.077829935,0.081536123,0.081536123,0.081536123,0.084006914,0.086477706,0.086477706,0.087713102,0.087713102
Ireland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Italy,0.001672297,0.001672297,0.001672297,0.003344595,0.016722973,0.046824326,0.157195951,0.33445947,0.351182443,0.234121629,0.140472977,0.102010138,0.088631759,0.08194257,0.080270273,0.080270273,0.080270273,0.080270273,0.080270273,0.078597975,0.078597975,0.078597975,0.076925678,0.076925678,0.076925678,0.075253381
Jamaica,1.208551569,1.315188472,1.421825375,1.457371009,1.315188472,1.173005934,1.1374603,1.066369031,1.030823397,0.995277762,0.924186494,0.888640859,0.853095225,0.817549591,0.746458322,0.710912687,0.675367053,0.604275784,0.604275784,0.56873015,0.56873015,0.56873015,0.604275784,0.604275784,0.604275784,0.604275784
Japan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kazakhstan,0.005535728,0.005535728,0.011071457,0.027678642,0.027678642,0.027678642,0.027678642,0.055357284,0.055357284,0.055357284,0.055357284,0.055357284,0.055357284,0.060893013,0.060893013,0.066428741,0.071964469,0.077500198,0.083035926,0.099643112,0.10517884,0.116250297,0.132857482,0.149464667,0.171607581,0.204821952
Kenya,4.126525205,4.745503986,5.158156506,5.364482766,5.158156506,4.745503986,4.126525205,3.301220164,2.475915123,2.02199735,1.650610082,1.485549074,1.40301857,1.40301857,1.444283822,1.485549074,1.588712204,1.774405838,1.753773212,1.81567109,1.71250796,1.671242708,1.71250796,1.753773212,1.671242708,1.60934483
Kyrgyzstan,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.032653354,0.032653354,0.032653354,0.081633386,0.081633386,0.081633386,0.081633386,0.163266772,0.163266772,0.163266772,0.163266772,0.163266772,0.163266772,0.163266772,0.163266772,0.163266772,0.163266772,0.163266772,0.163266772
Lao People's Democratic Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Latvia,0.257126915,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.514253831,0.257126915,0.257126915
Lebanon,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.033116547,0.033116547,0.033116547,0.033116547,0.033116547,0.033116547,0.033116547,0.033116547,0.033116547,0.033116547,0.033116547,0.033116547,0.033116547
