Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Iran (Islamic Republic of),0.001235396,0.002470792,0.002470792,0.002470792,0.002470792,0.006176979,0.006176979,0.006176979,0.006176979,0.006176979,0.012353958,0.012353958,0.012353958,0.016060145,0.019766333,0.02347252,0.027178708,0.029649499,0.033355687,0.037061874,0.039532666,0.043238853,0.044474249,0.045709645,0.048180436,0.049415832
Ireland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Italy,0.001672297,0.001672297,0.001672297,0.001672297,0.001672297,0.001672297,0.001672297,0.003344595,0.008361487,0.016722973,0.016722973,0.021739866,0.023412163,0.02508446,0.02508446,0.021739866,0.016722973,0.016722973,0.016722973,0.016722973,0.016722973,0.016722973,0.016722973,0.016722973,0.016722973,0.016722973
Jamaica,0.071091269,0.177728172,0.177728172,0.177728172,0.355456344,0.355456344,0.355456344,0.426547612,0.497638881,0.56873015,0.639821419,0.675367053,0.710912687,0.746458322,0.746458322,0.746458322,0.604275784,0.604275784,0.56873015,0.533184516,0.497638881,0.497638881,0.497638881,0.462093247,0.426547612,0.426547612
Japan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kazakhstan,0.005535728,0.005535728,0.005535728,0.005535728,0.005535728,0.005535728,0.005535728,0.005535728,0.005535728,0.005535728,0.011071457,0.011071457,0.011071457,0.027678642,0.027678642,0.027678642,0.027678642,0.027678642,0.027678642,0.027678642,0.027678642,0.055357284,0.055357284,0.055357284,0.055357284,0.055357284
Kenya,0.350754642,0.495183025,0.660244033,0.845937667,1.093529179,1.341120692,1.588712204,1.856936342,2.063262602,2.269588863,2.475915123,2.682241383,2.682241383,2.682241383,2.682241383,2.475915123,2.063262602,1.795038464,1.526814326,1.279222814,1.052263927,0.907835545,0.784039789,0.784039789,0.784039789,0.742774537
Kyrgyzstan,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.016326677,0.032653354,0.032653354,0.032653354,0.032653354,0.032653354,0.081633386,0.081633386,0.081633386,0.081633386,0.081633386
Lao People's Democratic Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Latvia,0.051425383,0.051425383,0.051425383,0.051425383,0.051425383,0.102850766,0.102850766,0.102850766,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915,0.257126915
Lebanon,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273,0.016558273
Lesotho,0.228816301,0.457632602,0.457632602,0.594922383,0.823738684,1.144081506,1.555950848,2.013583451,2.562742574,3.157664957,3.798350601,4.484799504,5.033958627,5.49159123,6.406856435,6.406856435,6.406856435,5.949223832,5.49159123,4.576326025,4.164456683,3.798350601,4.072930162,4.255983203,4.393272984,4.530562765
Liberia,0.042279392,0.10569848,0.10569848,0.10569848,0.21139696,0.21139696,0.21139696,0.253676352,0.31709544,0.401654223,0.443933615,0.507352703,0.549632095,0.591911487,0.613051183,0.655330575,0.655330575,0.613051183,0.591911487,0.591911487,0.549632095,0.507352703,0.443933615,0.443933615,0.422793919,0.401654223
Lithuania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Luxembourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Madagascar,0.003904272,0.003904272,0.003904272,0.007808543,0.019521358,0.019521358,0.019521358,0.039042716,0.039042716,0.04685126,0.058564074,0.074181161,0.085893976,0.101511062,0.113223877,0.121032421,0.132745236,0.136649507,0.140553779,0.140553779,0.140553779,0.136649507,0.132745236,0.132745236,0.128840964,0.124936692
Malawi,0.710433797,0.929028811,1.147623826,1.420867594,1.694111362,2.022003883,2.349896405,2.677788927,3.005681448,3.278925216,3.552168984,3.770763999,3.989359013,4.153305274,4.207954028,4.153305274,3.989359013,3.661466492,3.224276463,2.841735188,2.56849142,2.295247651,2.076652637,1.748760115,1.584813855,1.475516347
Malaysia,0.003208812,0.006417625,0.032088125,0.03850575,0.070593874,0.109099624,0.147605374,0.179693499,0.205363999,0.227825686,0.247078561,0.259913811,0.259913811,0.256704998,0.259913811,0.259913811,0.259913811,0.259913811,0.259913811,0.256704998,0.256704998,0.259913811,0.256704998,0.256704998,0.250287373,0.231034498
Maldives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mali,0.133761613,0.176565329,0.219369045,0.262172762,0.304976478,0.342429729,0.374532517,0.406635304,0.428037162,0.444088555,0.44943902,0.454789484,0.454789484,0.44943902,0.428037162,0.39058391,0.379882981,0.3317288,0.294275549,0.288925084,0.272873691,0.256822297,0.230069974,0.256822297,0.315677407,0.347780194
Malta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
