"name",12/13,13/14,14/15,15/16,16/17,17/18
"John Guidetti",7.0,9.0,35.0,43.0,42.0,20.0
"Christian Santos",28.0,2.0,38.0,33.0,27.0,12.0
"Rubén Sobrino",19.0,17.0,42.0,14.0,16.0,23.0
"Ermedin Demirovic",NaN,NaN,33.0,23.0,27.0,4.0
"Alexander Szymanowski",39.0,28.0,26.0,49.0,28.0,15.0
"José Naranjo",5.0,7.0,27.0,38.0,24.0,19.0
"Nordin Amrabat",43.0,28.0,35.0,29.0,29.0,32.0
"Nabil El Zhar",38.0,28.0,21.0,32.0,28.0,30.0
"Omar",35.0,26.0,38.0,37.0,16.0,19.0
"Claudio Beauvue",38.0,42.0,52.0,42.0,19.0,27.0
"Miguel Ángel Guerrero",26.0,15.0,37.0,25.0,33.0,15.0
"Amath Ndiaye",NaN,NaN,8.0,NaN,41.0,29.0
"Dani Pacheco",33.0,37.0,25.0,38.0,34.0,8.0
"Álvaro Jiménez",NaN,10.0,28.0,33.0,37.0,14.0
"Loïc Rémy",37.0,27.0,29.0,20.0,8.0,18.0
"Ángel Rodríguez",35.0,15.0,16.0,36.0,39.0,25.0
"Jorge Molina",38.0,43.0,36.0,26.0,44.0,27.0
"José Luis Morales",7.0,40.0,36.0,36.0,40.0,29.0
"Fahad Al-Muwallad",10.0,18.0,23.0,31.0,24.0,11.0
"Ivi",NaN,34.0,36.0,38.0,35.0,27.0
"Jason",NaN,26.0,24.0,22.0,39.0,22.0
"Roger Martí",25.0,37.0,19.0,37.0,38.0,8.0
"Emmanuel Boateng",NaN,NaN,27.0,31.0,33.0,25.0
"Alex Alegría",10.0,NaN,36.0,42.0,27.0,9.0
"Giampaolo Pazzini",37.0,21.0,28.0,31.0,37.0,25.0
"Armando Sadiku",35.0,29.0,16.0,37.0,31.0,27.0
"Jairo Samperio",40.0,36.0,22.0,33.0,22.0,8.0
"Hernán Toledo",NaN,NaN,6.0,13.0,15.0,16.0
"Nacho Gil",NaN,1.0,32.0,26.0,37.0,18.0
"Momo",47.0,33.0,31.0,28.0,25.0,10.0
"Jonathan Calleri",3.0,36.0,45.0,17.0,21.0,31.0
"Emmanuel Emenike",23.0,35.0,35.0,27.0,27.0,10.0
"Imoh Ezekiel",34.0,48.0,29.0,29.0,19.0,15.0
"Justin Kluivert",NaN,NaN,1.0,5.0,42.0,29.0
"Amin Younes",24.0,14.0,18.0,39.0,48.0,18.0
"Dennis Johnsen",NaN,NaN,NaN,12.0,32.0,22.0
"David Neres",NaN,NaN,NaN,8.0,16.0,31.0
"Vaclav Cerny",NaN,2.0,34.0,34.0,38.0,8.0
"Kasper Dolberg",NaN,NaN,3.0,22.0,48.0,25.0
"Mateo Cassierra",NaN,NaN,19.0,24.0,46.0,25.0
"Klaas-Jan Huntelaar",35.0,21.0,37.0,40.0,24.0,25.0
"Hirving Lozano",NaN,16.0,40.0,47.0,37.0,27.0
"Steven Bergwijn",NaN,3.0,18.0,30.0,37.0,30.0
"Gastón Pereiro",0.0,21.0,25.0,39.0,38.0,26.0
"Albert Gudmundsson",1.0,2.0,24.0,31.0,34.0,20.0
"Maximiliano Romero",NaN,NaN,0.0,11.0,18.0,10.0
"Luuk de Jong",31.0,26.0,45.0,44.0,39.0,29.0
"Sam Lammers",NaN,NaN,19.0,42.0,44.0,20.0
"Donyell Malen",NaN,NaN,1.0,20.0,35.0,23.0
"Sam Larsson",37.0,20.0,31.0,37.0,36.0,27.0
"Jean-Paul Boëtius",26.0,33.0,44.0,19.0,29.0,33.0
"Cheick Toure",NaN,NaN,NaN,NaN,7.0,25.0
"Steven Berghuis",44.0,48.0,25.0,11.0,38.0,37.0
"Bilal Basacikoglu",32.0,35.0,29.0,41.0,38.0,19.0
"Nicolai Jörgensen",36.0,24.0,37.0,40.0,42.0,29.0
"Robin van Persie",48.0,28.0,31.0,48.0,35.0,13.0
"Dylan Vente",NaN,NaN,NaN,NaN,31.0,27.0
"Oussama Idrissi",NaN,17.0,29.0,31.0,31.0,25.0
"Alireza Jahanbakhsh",28.0,39.0,31.0,30.0,43.0,31.0
"Calvin Stengs",NaN,NaN,NaN,20.0,35.0,1.0
"Wout Weghorst",30.0,35.0,40.0,39.0,49.0,30.0
"Ondřej Mihálik",NaN,NaN,3.0,15.0,27.0,21.0
"Myron Boadu",NaN,NaN,NaN,NaN,22.0,
"Ferdy Druijf",NaN,NaN,5.0,19.0,34.0,17.0
"Patrick Joosten",NaN,3.0,19.0,31.0,21.0,3.0
"Gyrano Kerk",13.0,7.0,24.0,36.0,31.0,31.0
"Bilal Ould-Chikh",7.0,14.0,29.0,12.0,NaN,14.0
"Jean-Christophe Bahebeck",33.0,21.0,24.0,24.0,15.0,7.0
"Cyriel Dessers",NaN,2.0,29.0,11.0,40.0,29.0
"Simon Makienok",33.0,25.0,11.0,37.0,29.0,2.0
"Lukas Görtler",29.0,31.0,28.0,21.0,24.0,22.0
"Nick Venema",NaN,NaN,NaN,13.0,30.0,23.0
"Arber Zeneli",39.0,42.0,31.0,23.0,38.0,16.0
"Nemanja Mihajlovic",4.0,21.0,26.0,25.0,30.0,22.0
"Martin Ödegaard",NaN,24.0,13.0,38.0,31.0,24.0
"Marco Rojas",27.0,2.0,24.0,29.0,27.0,22.0
"Reza Ghoochannejhad",22.0,26.0,9.0,25.0,39.0,27.0
"Henk Veerman",20.0,39.0,51.0,39.0,32.0,32.0
"Bryan Linssen",39.0,34.0,37.0,41.0,31.0,33.0
"Lars ten Teije",NaN,NaN,5.0,26.0,30.0,19.0
"Roy Beerens",41.0,51.0,29.0,3.0,43.0,26.0
"Mitchell van Bergen",NaN,NaN,NaN,19.0,27.0,22.0
"Tim Matavz",39.0,24.0,17.0,24.0,21.0,30.0
"Luc Castaignos",51.0,31.0,35.0,21.0,14.0,31.0
"Mimoun Mahi",43.0,21.0,36.0,20.0,35.0,23.0
"Ajdin Hrustic",6.0,3.0,22.0,15.0,33.0,17.0
"Uriel Antuna",NaN,NaN,3.0,NaN,1.0,17.0
"Lars Veldwijk",36.0,45.0,14.0,36.0,33.0,20.0
"Tom van Weert",36.0,5.0,36.0,34.0,19.0,26.0
"Youness Mokhtar",38.0,30.0,39.0,10.0,28.0,29.0
"Queensy Menig",22.0,20.0,35.0,37.0,34.0,23.0
"Terell Ondaan",16.0,38.0,36.0,14.0,32.0,31.0
"Younes Namli",0.0,30.0,39.0,8.0,29.0,30.0
"Athanasios Karagounis",30.0,29.0,7.0,NaN,14.0,6.0
"Piotr Parzyszek",40.0,22.0,32.0,28.0,39.0,21.0
"Stef Nijland",16.0,32.0,40.0,30.0,15.0,19.0
"Oussama Assaidi",14.0,26.0,38.0,1.0,6.0,24.0
"Adnane Tighadouini",26.0,14.0,39.0,19.0,32.0,21.0
"Dylan George",NaN,NaN,NaN,19.0,30.0,14.0
"Luciano Slagveer",33.0,35.0,38.0,39.0,38.0,20.0
"Tom Boere",0.0,18.0,34.0,19.0,39.0,31.0
"Mounir El Hamdaoui",20.0,13.0,3.0,9.0,13.0,3.0
"Marko Kvasina",19.0,29.0,36.0,27.0,27.0,15.0
"Jari Oosterwijk",17.0,25.0,37.0,21.0,30.0,9.0
"Ricardo Kishna",2.0,20.0,41.0,16.0,18.0,3.0
"Édouard Duplan",27.0,8.0,17.0,32.0,36.0,15.0
"Melvyn Lorenzen",20.0,15.0,6.0,18.0,30.0,18.0
"Sheraldo Becker",10.0,23.0,29.0,28.0,34.0,24.0
"Elson Hooi",37.0,28.0,22.0,36.0,10.0,24.0
"Björn Johnsen",2.0,NaN,45.0,24.0,37.0,28.0
"Delano Ladan",NaN,NaN,NaN,1.0,21.0,20.0
"Kristoffer Peterson",8.0,22.0,25.0,31.0,28.0,30.0
"Zeki Erkilinc",NaN,NaN,NaN,32.0,18.0,5.0
"Brandley Kuwas",46.0,40.0,44.0,38.0,38.0,26.0
"Brahim Darri",27.0,26.0,28.0,47.0,36.0,17.0
"Jaroslav Navrátil",16.0,21.0,37.0,38.0,35.0,18.0
"Paul Gladon",34.0,41.0,38.0,44.0,8.0,30.0
"Vincent Vermeij",9.0,34.0,46.0,41.0,22.0,28.0
"Kai Huisman",1.0,0.0,4.0,10.0,23.0,5.0
"Mo El Hankouri",NaN,NaN,8.0,18.0,13.0,25.0
"Karim Coulibaly",11.0,21.0,26.0,16.0,14.0,8.0
"Kristófer Ingi Kristinsson",NaN,NaN,NaN,3.0,NaN,13.0
"Ismail Azzaoui",NaN,NaN,7.0,10.0,1.0,25.0
"Jordy Croux",9.0,10.0,40.0,40.0,35.0,20.0
"Asumah Abubakar",NaN,NaN,NaN,9.0,27.0,
"Fran Sol",15.0,31.0,38.0,37.0,31.0,30.0
"Bartholomew Ogbeche",8.0,9.0,33.0,21.0,17.0,21.0
"Etien Velikonja",7.0,7.0,17.0,29.0,33.0,6.0
"Dabney dos Santos",NaN,24.0,33.0,44.0,46.0,20.0
"Craig Goodwin",25.0,19.0,28.0,27.0,30.0,20.0
"Soufyan Ahannach",2.0,20.0,32.0,40.0,42.0,18.0
"Loris Brogno",8.0,24.0,31.0,37.0,27.0,20.0
"Thomas Verhaar",NaN,NaN,38.0,34.0,29.0,12.0
"Ilias Alhaft",NaN,0.0,2.0,12.0,31.0,12.0
"Michiel Kramer",37.0,31.0,33.0,40.0,31.0,21.0
"Fred Friday",3.0,19.0,29.0,14.0,40.0,20.0
"Robert Mühren",41.0,36.0,32.0,44.0,34.0,22.0
"Nick Proschwitz",31.0,20.0,29.0,33.0,21.0,11.0
"Ragnar Ache",NaN,NaN,NaN,10.0,27.0,24.0
"Thomas Agyepong",NaN,NaN,NaN,17.0,38.0,13.0
"Diego Snepvangers",NaN,NaN,NaN,NaN,18.0,12.0
"Giovanni Korte",29.0,38.0,17.0,30.0,44.0,27.0
"Paolo Fernandes",NaN,NaN,2.0,4.0,29.0,22.0
"Umar Sadiq",NaN,NaN,32.0,25.0,7.0,10.0
"Thierry Ambrose",NaN,8.0,20.0,12.0,8.0,27.0
"Mitchell te Vrede",21.0,28.0,35.0,30.0,7.0,10.0
"Richelor Sprangers",NaN,NaN,NaN,3.0,19.0,19.0
"Levi García",NaN,NaN,NaN,16.0,36.0,26.0
"Stanley Elbers",30.0,33.0,33.0,27.0,33.0,18.0
"Jinty Caenepeel",NaN,2.0,9.0,31.0,28.0,21.0
"Mike van Duinen",35.0,35.0,34.0,28.0,29.0,25.0
"Zakaria El Azzouzi",0.0,6.0,22.0,27.0,24.0,21.0
"Gyliano van Velzen",12.0,19.0,12.0,33.0,42.0,26.0
"Mikhael Rosheuvel",45.0,37.0,34.0,26.0,38.0,29.0
"Mario Engels",17.0,31.0,28.0,17.0,21.0,22.0
"Célestin Djim",NaN,NaN,21.0,3.0,8.0,5.0
"Dani Schahin",34.0,7.0,16.0,25.0,21.0,26.0
"Jorn Vancamp",NaN,NaN,3.0,7.0,4.0,25.0
"Maecky Ngombo",NaN,NaN,NaN,23.0,17.0,10.0
"Torino Hunte",NaN,30.0,31.0,38.0,36.0,26.0
"Lugman Bezzat",NaN,NaN,4.0,15.0,1.0,1.0
"Vito van Crooij",0.0,4.0,44.0,36.0,38.0,27.0
"Romeo Castelen",2.0,34.0,23.0,31.0,23.0,9.0
"Lennart Thy",24.0,28.0,34.0,31.0,22.0,29.0
