"name",12/13,13/14,14/15,15/16,16/17,17/18
"Adalberto Peñaranda",NaN,10.0,NaN,2398.0,355.0,808.0
"Youssef En-Nesyri",NaN,NaN,NaN,NaN,373.0,903.0
"Cristhian Stuani",2252.0,2788.0,2322.0,2156.0,1607.0,1899.0
"Anthony Lozano",1084.0,144.0,368.0,2299.0,2469.0,1363.0
"Michael Olunga",87.0,NaN,180.0,2121.0,764.0,466.0
"Takashi Inui",2666.0,1405.0,1932.0,1864.0,2159.0,2178.0
"Pedro León",2363.0,2987.0,1756.0,2026.0,3108.0,269.0
"Fabián Orellana",1776.0,2119.0,3149.0,3342.0,1773.0,628.0
"Iván Alejo",NaN,361.0,1148.0,766.0,2045.0,816.0
"Rubén Peña",205.0,1459.0,2138.0,2001.0,1516.0,1107.0
"Sergi Enrich",720.0,2337.0,3228.0,2581.0,2872.0,1418.0
"Kike",2979.0,3827.0,2828.0,1238.0,1635.0,1879.0
"Charles",3757.0,2432.0,1367.0,3007.0,1135.0,1479.0
"Alfonso Pedraza",NaN,NaN,598.0,2431.0,2558.0,2266.0
"Burgui",1230.0,2079.0,2802.0,1256.0,2101.0,810.0
"Ibai Gómez",2472.0,1020.0,1674.0,339.0,2111.0,1975.0
"Hernán Pérez",889.0,1712.0,1250.0,2517.0,1977.0,588.0
"Munir El Haddadi",NaN,1163.0,2169.0,1664.0,2390.0,1933.0
"John Guidetti",553.0,250.0,1985.0,1818.0,2272.0,1000.0
"Christian Santos",2297.0,28.0,2843.0,2917.0,1367.0,484.0
"Rubén Sobrino",1180.0,440.0,2388.0,886.0,769.0,1172.0
"Ermedin Demirovic",NaN,NaN,1981.0,812.0,2315.0,192.0
"Alexander Szymanowski",2761.0,2278.0,1572.0,3248.0,2039.0,1102.0
"José Naranjo",349.0,177.0,1613.0,2743.0,968.0,813.0
"Nordin Amrabat",1984.0,1950.0,2275.0,1692.0,2100.0,1677.0
"Nabil El Zhar",2136.0,1625.0,921.0,1873.0,1850.0,2076.0
"Omar",2447.0,1371.0,1602.0,2571.0,1048.0,986.0
"Claudio Beauvue",2835.0,2758.0,4308.0,2366.0,749.0,1859.0
"Miguel Ángel Guerrero",1626.0,347.0,2738.0,1215.0,2280.0,983.0
"Amath Ndiaye",NaN,NaN,561.0,NaN,3189.0,2156.0
"Dani Pacheco",2793.0,2350.0,1031.0,2562.0,2534.0,120.0
"Álvaro Jiménez",NaN,577.0,2091.0,1905.0,2496.0,676.0
"Loïc Rémy",2226.0,2108.0,1228.0,615.0,283.0,933.0
"Ángel Rodríguez",1714.0,546.0,536.0,2541.0,3490.0,1645.0
"Jorge Molina",2591.0,2926.0,2310.0,1023.0,3614.0,2160.0
"José Luis Morales",630.0,2836.0,2793.0,2741.0,3087.0,2432.0
"Fahad Al-Muwallad",797.0,1604.0,1841.0,2540.0,2143.0,846.0
"Ivi",NaN,2446.0,2318.0,3102.0,3025.0,1563.0
"Jason",NaN,1385.0,1548.0,923.0,2794.0,1628.0
"Roger Martí",1106.0,2739.0,1356.0,2246.0,3325.0,357.0
"Emmanuel Boateng",NaN,NaN,1447.0,1295.0,2021.0,1325.0
"Alex Alegría",645.0,NaN,2949.0,2810.0,1611.0,632.0
"Giampaolo Pazzini",2166.0,914.0,989.0,1989.0,3147.0,1279.0
"Armando Sadiku",3018.0,1515.0,488.0,2437.0,2262.0,1309.0
"Jairo Samperio",2771.0,2105.0,1103.0,2487.0,1119.0,480.0
"Hernán Toledo",NaN,NaN,408.0,1104.0,764.0,684.0
"Nacho Gil",NaN,90.0,2052.0,1833.0,3002.0,936.0
"Momo",3163.0,2302.0,1568.0,1725.0,1327.0,543.0
"Jonathan Calleri",264.0,2341.0,3097.0,1249.0,881.0,2607.0
"Emmanuel Emenike",1616.0,2450.0,2311.0,1635.0,1445.0,510.0
"Imoh Ezekiel",2361.0,3363.0,2282.0,1423.0,1515.0,329.0
"Justin Kluivert",NaN,NaN,90.0,173.0,2726.0,2089.0
"Amin Younes",1400.0,169.0,871.0,2559.0,3862.0,1272.0
"Dennis Johnsen",NaN,NaN,NaN,718.0,2549.0,1564.0
"David Neres",NaN,NaN,NaN,620.0,855.0,2351.0
"Vaclav Cerny",NaN,108.0,2542.0,2257.0,2790.0,435.0
"Kasper Dolberg",NaN,NaN,72.0,1783.0,3368.0,1597.0
"Mateo Cassierra",NaN,NaN,1233.0,1567.0,2448.0,1982.0
"Klaas-Jan Huntelaar",2880.0,1685.0,3190.0,3166.0,1130.0,1631.0
"Hirving Lozano",NaN,873.0,3217.0,3884.0,2980.0,2217.0
"Steven Bergwijn",NaN,130.0,1228.0,1928.0,1673.0,1892.0
"Gastón Pereiro",0.0,1336.0,1782.0,1743.0,2632.0,1572.0
"Albert Gudmundsson",5.0,180.0,1697.0,2198.0,2637.0,1003.0
"Maximiliano Romero",NaN,NaN,0.0,551.0,733.0,886.0
"Luuk de Jong",2023.0,791.0,3930.0,3849.0,3388.0,2167.0
"Sam Lammers",NaN,NaN,1645.0,3136.0,3248.0,1298.0
"Donyell Malen",NaN,NaN,90.0,1146.0,2512.0,1392.0
"Sam Larsson",2701.0,1654.0,2667.0,3265.0,2770.0,1588.0
"Jean-Paul Boëtius",1885.0,2318.0,2556.0,978.0,1732.0,2224.0
"Cheick Toure",NaN,NaN,NaN,NaN,386.0,1721.0
"Steven Berghuis",2398.0,2968.0,1892.0,317.0,2547.0,3060.0
"Bilal Basacikoglu",2321.0,2688.0,1526.0,2083.0,1590.0,889.0
"Nicolai Jörgensen",2508.0,1701.0,2756.0,3336.0,3420.0,2319.0
"Robin van Persie",3696.0,2081.0,2346.0,2937.0,2031.0,481.0
"Dylan Vente",NaN,NaN,NaN,NaN,2593.0,1751.0
"Oussama Idrissi",NaN,1332.0,2017.0,2013.0,1695.0,1556.0
"Alireza Jahanbakhsh",2264.0,2263.0,2644.0,2113.0,3289.0,2655.0
"Calvin Stengs",NaN,NaN,NaN,869.0,2751.0,8.0
"Wout Weghorst",1878.0,1389.0,3008.0,3358.0,3351.0,2672.0
"Ondřej Mihálik",NaN,NaN,24.0,570.0,1563.0,920.0
"Myron Boadu",NaN,NaN,NaN,NaN,1679.0,NaN
"Ferdy Druijf",NaN,NaN,145.0,1379.0,2366.0,1184.0
"Patrick Joosten",NaN,193.0,1142.0,1901.0,1234.0,130.0
"Gyrano Kerk",1004.0,549.0,1800.0,3095.0,2271.0,2425.0
"Bilal Ould-Chikh",453.0,1039.0,1432.0,313.0,NaN,835.0
"Jean-Christophe Bahebeck",1728.0,1259.0,868.0,1183.0,822.0,372.0
"Cyriel Dessers",NaN,28.0,975.0,222.0,3390.0,1626.0
"Simon Makienok",2606.0,1860.0,661.0,2152.0,1033.0,180.0
"Lukas Görtler",1563.0,2541.0,2163.0,1107.0,1296.0,798.0
"Nick Venema",NaN,NaN,NaN,952.0,2235.0,1472.0
"Arber Zeneli",2852.0,2697.0,2384.0,1862.0,2874.0,1216.0
"Nemanja Mihajlovic",41.0,846.0,1596.0,2155.0,1494.0,1140.0
"Martin Ödegaard",NaN,1527.0,757.0,2726.0,2071.0,2093.0
"Marco Rojas",2358.0,67.0,1402.0,1811.0,2291.0,995.0
"Reza Ghoochannejhad",1373.0,1403.0,352.0,1114.0,3354.0,1838.0
"Henk Veerman",1554.0,2026.0,2962.0,2380.0,925.0,1447.0
"Bryan Linssen",3010.0,2963.0,2929.0,2601.0,2161.0,2869.0
"Lars ten Teije",NaN,NaN,450.0,2191.0,2389.0,1627.0
"Roy Beerens",3291.0,4241.0,2274.0,187.0,3407.0,1570.0
"Mitchell van Bergen",NaN,NaN,NaN,1437.0,1086.0,1468.0
"Tim Matavz",2505.0,1335.0,603.0,1284.0,1579.0,2330.0
"Luc Castaignos",3715.0,2639.0,2794.0,1028.0,430.0,1157.0
"Mimoun Mahi",2484.0,1416.0,1947.0,833.0,2747.0,1812.0
"Ajdin Hrustic",203.0,64.0,1744.0,1048.0,2320.0,969.0
"Uriel Antuna",NaN,NaN,196.0,NaN,19.0,924.0
"Lars Veldwijk",2921.0,3807.0,340.0,3105.0,2079.0,979.0
"Tom van Weert",3112.0,205.0,2956.0,2918.0,1267.0,1635.0
"Youness Mokhtar",3175.0,1806.0,2789.0,342.0,1740.0,2459.0
"Queensy Menig",1732.0,1653.0,2545.0,2675.0,2802.0,794.0
"Terell Ondaan",614.0,3022.0,2065.0,729.0,1436.0,1372.0
"Younes Namli",0.0,1658.0,2405.0,441.0,1845.0,2554.0
"Athanasios Karagounis",1249.0,1680.0,301.0,NaN,718.0,364.0
"Piotr Parzyszek",2788.0,1889.0,1938.0,1126.0,3461.0,1174.0
"Stef Nijland",1010.0,1685.0,1939.0,1510.0,448.0,775.0
"Oussama Assaidi",717.0,1554.0,2009.0,29.0,265.0,1891.0
"Adnane Tighadouini",1736.0,556.0,3192.0,704.0,1926.0,930.0
"Dylan George",NaN,NaN,NaN,1149.0,2140.0,990.0
"Luciano Slagveer",2425.0,2003.0,3306.0,2754.0,1856.0,972.0
"Tom Boere",0.0,1176.0,2436.0,976.0,3434.0,2405.0
"Mounir El Hamdaoui",647.0,538.0,37.0,751.0,1043.0,88.0
"Marko Kvasina",1079.0,2279.0,2493.0,2198.0,723.0,483.0
"Jari Oosterwijk",736.0,900.0,2791.0,1537.0,1464.0,765.0
"Ricardo Kishna",62.0,1168.0,2557.0,852.0,781.0,83.0
"Édouard Duplan",1988.0,608.0,1412.0,2823.0,2644.0,539.0
"Melvyn Lorenzen",1426.0,818.0,258.0,729.0,1456.0,825.0
"Sheraldo Becker",742.0,1644.0,1777.0,1965.0,2064.0,2056.0
"Elson Hooi",2702.0,1658.0,1292.0,2285.0,547.0,1022.0
"Björn Johnsen",68.0,NaN,3455.0,1656.0,2161.0,2049.0
"Delano Ladan",NaN,NaN,NaN,90.0,1662.0,1365.0
"Kristoffer Peterson",520.0,1867.0,1484.0,1779.0,1955.0,2279.0
"Zeki Erkilinc",NaN,NaN,NaN,1527.0,1228.0,403.0
"Brandley Kuwas",2931.0,3099.0,3717.0,2835.0,2871.0,2075.0
"Brahim Darri",2046.0,1379.0,1805.0,2930.0,1873.0,1088.0
"Jaroslav Navrátil",1153.0,1674.0,2011.0,2861.0,1897.0,963.0
"Paul Gladon",2398.0,3502.0,3203.0,2386.0,636.0,1670.0
"Vincent Vermeij",433.0,2030.0,3829.0,2807.0,1134.0,1633.0
"Kai Huisman",90.0,0.0,164.0,500.0,813.0,362.0
"Mo El Hankouri",NaN,NaN,595.0,1099.0,778.0,1361.0
"Karim Coulibaly",344.0,905.0,1645.0,793.0,797.0,523.0
"Kristófer Ingi Kristinsson",NaN,NaN,NaN,192.0,NaN,858.0
"Ismail Azzaoui",NaN,NaN,378.0,515.0,60.0,1260.0
"Jordy Croux",389.0,359.0,3365.0,3597.0,2710.0,835.0
"Asumah Abubakar",NaN,NaN,NaN,624.0,1421.0,NaN
"Fran Sol",523.0,1404.0,2597.0,3096.0,2251.0,2693.0
"Bartholomew Ogbeche",553.0,452.0,2878.0,1672.0,599.0,1530.0
"Etien Velikonja",247.0,259.0,1194.0,2588.0,1964.0,390.0
"Dabney dos Santos",NaN,1808.0,2175.0,3064.0,2809.0,955.0
"Craig Goodwin",1816.0,941.0,2148.0,2419.0,1406.0,1148.0
"Soufyan Ahannach",17.0,1396.0,2300.0,2836.0,3749.0,1365.0
"Loris Brogno",169.0,1655.0,1994.0,2991.0,1711.0,1304.0
"Thomas Verhaar",NaN,NaN,2943.0,2932.0,1872.0,580.0
"Ilias Alhaft",NaN,0.0,180.0,906.0,2478.0,705.0
"Michiel Kramer",3197.0,1843.0,2800.0,2968.0,1120.0,1299.0
"Fred Friday",46.0,460.0,2018.0,1260.0,2172.0,1460.0
"Robert Mühren",2170.0,3086.0,2135.0,1824.0,1759.0,1679.0
"Nick Proschwitz",1224.0,1139.0,1045.0,2694.0,1199.0,725.0
"Ragnar Ache",NaN,NaN,NaN,900.0,1858.0,867.0
"Thomas Agyepong",NaN,NaN,NaN,788.0,1919.0,597.0
"Diego Snepvangers",NaN,NaN,NaN,NaN,1421.0,1049.0
"Giovanni Korte",1854.0,2266.0,1323.0,1543.0,3119.0,1618.0
"Paolo Fernandes",NaN,NaN,22.0,56.0,2180.0,892.0
"Umar Sadiq",NaN,NaN,2748.0,1758.0,230.0,560.0
"Thierry Ambrose",NaN,258.0,1462.0,973.0,427.0,2146.0
"Mitchell te Vrede",1708.0,1735.0,1827.0,1945.0,421.0,517.0
"Richelor Sprangers",NaN,NaN,NaN,39.0,1472.0,1022.0
"Levi García",NaN,NaN,NaN,1055.0,1985.0,1433.0
"Stanley Elbers",1944.0,2408.0,2655.0,1522.0,2200.0,1423.0
"Jinty Caenepeel",NaN,23.0,330.0,2181.0,2351.0,1302.0
"Mike van Duinen",2719.0,3110.0,2868.0,1496.0,1768.0,1978.0
"Zakaria El Azzouzi",0.0,451.0,1464.0,1610.0,1915.0,1311.0
"Gyliano van Velzen",687.0,1244.0,519.0,2744.0,3229.0,1236.0
"Mikhael Rosheuvel",2909.0,2878.0,2149.0,1616.0,2814.0,2446.0
"Mario Engels",1114.0,2417.0,1722.0,785.0,917.0,1238.0
"Célestin Djim",NaN,NaN,1223.0,15.0,445.0,297.0
"Dani Schahin",1995.0,367.0,506.0,1836.0,1405.0,2097.0
