"name",12/13,13/14,14/15,15/16,16/17,17/18
"Diego Snepvangers",NaN,NaN,NaN,NaN,1,0
"Giovanni Korte",0,3,0,5,9,2
"Paolo Fernandes",NaN,NaN,0,0,7,0
"Umar Sadiq",NaN,NaN,0,8,1,3
"Thierry Ambrose",NaN,2,5,1,0,6
"Mitchell te Vrede",0,1,1,0,1,0
"Richelor Sprangers",NaN,NaN,NaN,0,1,0
"Levi García",NaN,NaN,NaN,1,8,4
"Stanley Elbers",0,1,4,2,0,3
"Jinty Caenepeel",NaN,0,0,7,8,0
"Mike van Duinen",6,2,2,2,4,4
"Zakaria El Azzouzi",0,0,3,0,3,1
"Gyliano van Velzen",2,1,3,9,11,3
"Mikhael Rosheuvel",3,7,2,1,5,7
"Mario Engels",3,3,7,0,0,3
"Célestin Djim",NaN,NaN,1,0,0,1
"Dani Schahin",2,0,1,5,0,4
"Jorn Vancamp",NaN,NaN,0,1,0,2
"Maecky Ngombo",NaN,NaN,NaN,0,0,1
"Torino Hunte",NaN,2,3,6,4,3
"Lugman Bezzat",NaN,NaN,0,0,1,0
"Vito van Crooij",0,0,1,8,3,4
"Romeo Castelen",0,10,1,1,4,1
"Lennart Thy",1,2,3,4,0,6
"Emil Riis",NaN,NaN,NaN,0,4,0
"Leroy Sané",2,15,3,7,8,15
"Raheem Sterling",6,12,10,10,21,10
"Bernardo Silva",NaN,7,4,3,12,11
"Sergio Agüero",5,14,9,5,6,7
"Gabriel Jesus",NaN,NaN,2,4,5,4
"Alexis Sánchez",13,17,12,11,19,6
"Anthony Martial",0,1,5,11,8,10
"Jesse Lingard",7,10,2,4,3,5
"Romelu Lukaku",7,8,7,7,7,8
"Marcus Rashford",NaN,NaN,0,2,6,8
"Zlatan Ibrahimovic",17,17,8,19,10,0
"Heung-Min Son",2,7,4,5,10,9
"Lucas",6,17,10,5,11,3
"Érik Lamela",6,4,10,10,7,5
"Harry Kane",6,7,6,2,7,4
"Fernando Llorente",3,6,4,5,1,1
"Eden Hazard",24,10,13,8,7,11
"Pedro",12,13,9,3,12,5
"Willian",15,10,5,10,5,10
"Álvaro Morata",8,2,7,12,6,5
"Olivier Giroud",12,12,4,6,7,3
"Sadio Mané",10,18,9,9,8,7
"Ben Woodburn",NaN,NaN,NaN,0,6,4
"Mohamed Salah",11,8,6,9,15,11
"Danny Ings",1,8,4,0,0,2
"Dominic Solanke",NaN,0,6,1,0,1
"Alex Iwobi",NaN,1,4,5,8,5
"Pierre-Emerick Aubameyang",15,5,11,12,5,4
"Alexandre Lacazette",10,8,8,4,5,4
"Danny Welbeck",5,6,6,2,4,1
"Yannick Bolasie",8,5,11,6,4,0
"Theo Walcott",16,7,1,7,2,6
"Cenk Tosun",9,6,0,6,4,3
"Dominic Calvert-Lewin",NaN,0,0,1,2,6
"Oumar Niasse",NaN,7,4,10,1,4
"Nathan Redmond",7,6,13,2,1,3
"Dusan Tadic",22,14,9,14,8,3
"Josh Sims",NaN,0,2,4,6,3
"Manolo Gabbiadini",2,4,3,3,0,0
"Charlie Austin",3,3,7,1,1,0
"Shane Long",5,3,7,6,4,2
"Guido Carrillo",0,2,4,3,5,4
"Marko Arnautovic",9,12,8,6,6,5
"Michail Antonio",11,6,14,6,5,1
"Chicharito",8,4,9,5,4,1
"Andy Carroll",4,5,3,2,2,1
"Jordan Hugill",NaN,1,2,0,3,2
"Demarai Gray",NaN,1,2,4,6,2
"Riyad Mahrez",6,10,3,10,7,11
"Jamie Vardy",4,11,10,8,7,1
"Kelechi Iheanacho",NaN,NaN,2,7,3,3
"Shinji Okazaki",1,1,6,2,1,3
"Fousseni Diabaté",NaN,NaN,NaN,NaN,0,1
"Bakary Sako",11,15,10,1,0,0
"Wilfried Zaha",12,1,4,7,11,3
"Andros Townsend",8,8,6,6,7,7
"Chung-Yong Lee",8,8,4,1,1,0
"Christian Benteke",8,2,3,6,2,6
"Connor Wickham",0,7,1,3,0,NaN
"Alexander Sörloth",0,0,6,1,3,9
"Eric Maxim Choupo-Moting",1,3,7,3,7,5
"Jesé",12,6,2,8,1,2
"Ramadan Sobhi",NaN,0,3,12,2,1
"Xherdan Shaqiri",13,4,4,6,2,6
"Saido Berahino",3,2,6,1,0,1
"Mame Diouf",8,4,3,1,2,2
"Peter Crouch",6,6,2,1,4,2
"Richarlison",NaN,NaN,4,1,6,5
"Gerard Deulofeu",5,5,10,13,4,4
"André Carrillo",4,5,18,3,3,2
"Dodi Lukebakio",NaN,0,0,4,0,4
"Andre Gray",10,13,8,10,3,3
"Troy Deeney",10,5,10,10,5,3
"Stefano Okaka",6,4,3,4,0,1
"Jerome Sinclair",0,0,4,2,0,0
"Nacer Chadli",11,6,5,5,5,0
"James McClean",4,5,7,4,3,0
"Hal Robson-Kanu",5,4,1,7,1,0
"Oliver Burke",NaN,NaN,0,1,4,2
"Matt Phillips",4,2,8,5,9,3
"Jonathan Leko",NaN,NaN,2,2,3,1
"Daniel Sturridge",6,9,2,2,3,3
"José Salomón Rondón",2,5,4,4,2,2
"Jay Rodríguez",8,3,NaN,1,3,2
"André Ayew",5,4,6,5,3,4
"Wayne Routledge",10,8,1,1,1,1
"Kenji Gorré",NaN,NaN,0,6,1,3
"Luciano Narsingh",9,4,12,6,4,4
"Nathan Dyer",5,2,3,1,3,0
"Wilfried Bony",10,7,3,6,0,0
"Tammy Abraham",NaN,NaN,2,6,4,5
"Jordan Ayew",5,3,7,1,7,3
"Christian Atsu",4,6,2,1,3,2
"Jacob Murphy",3,6,11,10,8,1
"Islam Slimani",1,4,5,6,5,2
"Dwight Gayle",8,0,2,1,4,4
"Joselu",2,3,4,4,1,1
"Georges-Kevin N'Koudou",NaN,1,2,5,1,0
"Aaron Lennon",9,5,3,2,1,3
"Johann Berg Gudmundsson",7,2,4,13,3,6
"Jonathan Walters",4,2,5,3,4,0
"Chris Wood",7,6,0,4,4,2
"Sam Vokes",2,4,0,5,4,2
"Nahki Wells",7,4,4,4,3,0
"José Izquierdo",NaN,3,7,9,3,3
"Jirí Skalák",1,2,5,6,6,0
"Anthony Knockaert",7,8,4,15,9,2
"Jürgen Locadia",4,6,5,14,4,7
"Leonardo Ulloa",4,5,4,4,0,2
"Sam Baldock",2,6,4,7,7,1
"Glenn Murray",6,1,4,0,8,0
"Tomer Hemed",2,1,4,5,4,2
"Ryan Fraser",6,2,0,6,8,3
"Junior Stanislas",9,7,3,3,5,2
"Marc Pugh",10,3,7,3,3,2
"Jordon Ibe",4,6,2,4,0,8
"Callum Wilson",0,7,13,0,1,3
"Lys Mousset",NaN,0,0,3,0,1
"Jermain Defoe",6,6,1,1,2,0
"Tom Ince",14,7,3,7,8,0
"Rajiv van La Parra",3,8,10,2,4,1
"Sean Scannell",1,3,8,4,1,1
"Steve Mounié",NaN,0,0,5,3,2
"Laurent Depoitre",4,7,9,5,1,2
"Elias Kachunga",2,12,1,0,4,1
"Collin Quaner",3,2,3,0,7,4
"Ryan Babel",7,7,5,2,5,4
"Jeremain Lens",12,7,12,3,17,5
"Gökhan Töre",0,8,11,9,1,NaN
"Ricardo Quaresma",NaN,4,7,8,17,11
"Cyle Larin",NaN,NaN,1,4,3,0
"Álvaro Negredo",4,8,5,3,4,9
"Vágner Love",7,12,5,0,3,3
"Mustafa Pektemek",1,2,2,1,5,0
"Garry Rodrigues",10,11,1,6,11,9
"Yasin Öztekin",3,9,14,9,4,3
"Sofiane Feghouli",7,10,8,4,3,8
"Sinan Gümüs",1,2,1,4,2,6
"Bafétimbi Gomis",6,4,3,0,4,6
"Eren Derdiyok",1,2,2,5,2,4
"Mathieu Valbuena",15,8,15,8,8,15
"Aatif Chahechouhe",8,12,3,3,5,1
"Samed Karakoc",NaN,NaN,0,0,0,0
"Vincent Janssen",0,3,9,7,4,4
"Roberto Soldado",5,5,6,15,4,1
"Fernandão",1,4,8,1,0,0
"Arda Turan",8,6,6,4,7,0
"Kerim Frei",2,0,1,5,0,3
"Eljero Elia",3,4,1,6,8,2
"Tunay Torun",1,1,9,6,7,1
"Riad Bajić",0,1,9,6,6,0
"Emmanuel Adebayor",2,5,1,1,2,2
"Mevlüt Erdinc",6,4,1,1,0,0
"Olcay Sahan",6,9,11,6,10,3
"Fabián Castillo",5,5,9,6,2,4
"Burak Yilmaz",8,9,5,6,1,1
"Hugo Rodallega",3,2,9,1,3,1
"Dame N'Doye",1,2,1,2,6,4
"Jirès Kembo-Ekoko",0,1,7,7,4,3
"Gheorghe Grozav",4,2,1,0,2,1
"Joshua John",9,3,7,1,2,2
"Dzon Delarge",1,1,1,4,2,3
"Sercan Yildirim",2,2,10,6,1,NaN
"Moussa Sow",10,8,8,2,3,0
"Kubilay Kanatsizkus",NaN,NaN,NaN,3,2,0
"Bogdan Stancu",1,7,1,5,1,2
"Sinan Bakis",0,0,0,0,2,0
"Júnior Fernándes",3,6,5,4,7,7
"Lucas Villafañez",0,NaN,2,6,6,4
"Mbilla Etame",5,0,8,3,3,2
"Douglas",4,0,8,4,3,2
"Wanderson",3,9,5,1,6,2
"Glynor Plet",5,0,0,2,2,NaN
"Moryké Fofana",5,6,5,0,2,5
"Ömer Ali Sahiner",5,0,3,8,4,2
"Volkan Sen",2,5,12,9,4,1
"Adis Jahovic",3,4,9,1,6,5
"Samuel Eto'o",10,7,4,6,5,5
"Mustapha Yatabaré",6,5,3,2,1,1
"Ryan Mendes",1,2,3,6,0,6
"Silvestre Varela",4,7,4,1,2,1
"William",3,8,9,5,8,3
"Asamoah Gyan",0,3,3,1,1,0
"Artem Kravets",0,0,3,4,2,2
"Nikola Stojiljkovic",0,2,6,4,2,2
"Umut Bulut",6,4,3,4,2,1
"Yoan Gouffran",3,5,1,0,5,1
"Muhammed Enes Durmus",NaN,NaN,0,1,1,0
"Demba Ba",5,3,9,4,0,0
"Nabil Ghilas",1,6,0,1,3,1
"Ömer Sismanoglu",3,0,3,3,0,0
"Robinho",6,5,1,6,5,2
"Cyriac",0,5,2,4,2,2
"Thievy Bifouma",10,0,4,1,1,2
"Arouna Koné",7,0,0,3,0,4
"Muhammet Demir",1,1,4,5,0,0
"Elvis Manu",2,3,5,0,2,1
"Ahmet Ilhan Özek",3,4,1,4,2,5
"Jaílton Paraíba",4,2,10,6,2,2
"Petar Skuletic",2,10,7,0,0,2
"Deniz Yilmaz",2,6,0,4,1,1
"Aminu Umar",NaN,7,6,5,5,5
"Serdar Gürler",2,14,5,0,6,6
"Sokol Cikalleshi",0,0,5,4,5,0
