"name",12/13,13/14,14/15,15/16,16/17,17/18
"Lukas Görtler",2,8,11,2,0,2
"Nick Venema",NaN,NaN,NaN,6,12,9
"Arber Zeneli",15,19,10,4,7,5
"Nemanja Mihajlovic",0,0,2,10,2,5
"Martin Ödegaard",NaN,5,1,1,4,2
"Marco Rojas",15,0,3,3,13,7
"Reza Ghoochannejhad",12,3,2,4,22,7
"Henk Veerman",15,15,24,16,13,9
"Bryan Linssen",10,13,12,6,11,13
"Lars ten Teije",NaN,NaN,0,9,8,4
"Roy Beerens",5,5,5,0,7,2
"Mitchell van Bergen",NaN,NaN,NaN,3,1,4
"Tim Matavz",20,4,3,0,5,10
"Luc Castaignos",16,14,14,5,0,3
"Mimoun Mahi",9,6,3,8,18,7
"Ajdin Hrustic",1,0,4,0,5,5
"Uriel Antuna",NaN,NaN,0,NaN,0,1
"Lars Veldwijk",19,35,0,14,9,4
"Tom van Weert",19,3,16,15,6,6
"Youness Mokhtar",10,5,7,1,5,8
"Queensy Menig",1,7,12,6,9,1
"Terell Ondaan",4,10,4,1,2,7
"Younes Namli",0,2,7,1,3,6
"Athanasios Karagounis",5,4,1,NaN,1,1
"Piotr Parzyszek",18,16,11,7,25,4
"Stef Nijland",3,8,13,10,2,4
"Oussama Assaidi",0,5,3,0,1,8
"Adnane Tighadouini",7,2,16,1,7,4
"Dylan George",NaN,NaN,NaN,4,8,3
"Luciano Slagveer",16,6,12,7,8,1
"Tom Boere",0,4,9,3,34,7
"Mounir El Hamdaoui",3,3,1,5,5,0
"Marko Kvasina",11,19,12,9,1,0
"Jari Oosterwijk",5,4,15,9,7,2
"Ricardo Kishna",0,8,7,2,0,0
"Édouard Duplan",6,0,7,3,2,0
"Melvyn Lorenzen",7,4,1,1,2,2
"Sheraldo Becker",0,1,5,4,3,2
"Elson Hooi",6,6,2,5,0,2
"Björn Johnsen",0,NaN,22,8,7,10
"Delano Ladan",NaN,NaN,NaN,0,7,7
"Kristoffer Peterson",1,6,3,4,7,9
"Zeki Erkilinc",NaN,NaN,NaN,2,1,1
"Brandley Kuwas",7,2,9,5,8,5
"Brahim Darri",11,6,4,8,3,0
"Jaroslav Navrátil",8,10,16,5,1,0
"Paul Gladon",12,20,15,24,3,7
"Vincent Vermeij",1,11,21,12,6,11
"Kai Huisman",1,0,0,4,2,0
"Mo El Hankouri",NaN,NaN,4,5,2,0
"Karim Coulibaly",0,3,7,1,1,1
"Kristófer Ingi Kristinsson",NaN,NaN,NaN,0,NaN,2
"Ismail Azzaoui",NaN,NaN,2,1,2,4
"Jordy Croux",1,0,6,10,3,2
"Asumah Abubakar",NaN,NaN,NaN,3,1,
"Fran Sol",1,7,11,16,10,17
"Bartholomew Ogbeche",1,2,14,12,3,12
"Etien Velikonja",0,1,5,24,8,3
"Dabney dos Santos",NaN,0,5,5,6,2
"Craig Goodwin",3,2,6,4,4,2
"Soufyan Ahannach",0,1,5,13,18,0
"Loris Brogno",0,6,8,16,8,2
"Thomas Verhaar",NaN,NaN,8,26,7,1
"Ilias Alhaft",NaN,0,0,1,10,0
"Michiel Kramer",26,9,17,20,7,4
"Fred Friday",0,3,17,8,11,11
"Robert Mühren",13,27,16,12,15,5
"Nick Proschwitz",5,6,3,8,3,3
"Ragnar Ache",NaN,NaN,NaN,10,16,3
"Thomas Agyepong",NaN,NaN,NaN,2,3,0
"Diego Snepvangers",NaN,NaN,NaN,NaN,5,3
"Giovanni Korte",12,17,3,11,11,3
"Paolo Fernandes",NaN,NaN,0,0,13,1
"Umar Sadiq",NaN,NaN,27,21,0,3
"Thierry Ambrose",NaN,1,10,7,5,10
"Mitchell te Vrede",10,19,17,11,1,3
"Richelor Sprangers",NaN,NaN,NaN,0,8,2
"Levi García",NaN,NaN,NaN,4,7,4
"Stanley Elbers",9,5,13,4,8,2
"Jinty Caenepeel",NaN,0,1,15,3,3
"Mike van Duinen",11,10,6,3,4,7
"Zakaria El Azzouzi",0,0,15,11,9,5
"Gyliano van Velzen",1,3,2,3,6,3
"Mikhael Rosheuvel",11,5,5,2,2,2
"Mario Engels",1,3,2,0,3,3
